,Instrument,Country of Headquarters,Region of Headquarters,NAICS National Industry Name,NAICS Industry Group Name,NAICS Sector Name,GICS Sub-Industry Name,GICS Industry Name,ICB Industry name,ICB Sector name,GICS Industry Group Name,SIC Industry Name,TRBC Industry Name,TRBC Industry Group Name,TRBC Business Sector Name,TRBC Economic Sector Name,TSE33 Main sector name,NAICS Subsector Name,key
0,TW0002382009,Taiwan,Asia,Electronic Computer Manufacturing,Computer and Peripheral Equipment Manufacturing,Manufacturing,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Technology,Technology Hardware & Equipment,Technology Hardware & Equipment,,Computer Hardware,"Computers, Phones & Household Electronics",Technology Equipment,Technology,,Computer and Electronic Product Manufacturing,TW0002382009
0,US74762E1029,United States of America,Americas,Electrical Contractors and Other Wiring Installation Contractors,Building Equipment Contractors,Construction,Construction & Engineering,Construction & Engineering,Industrials,Construction and Materials,Capital Goods,Electrical Work,Construction & Engineering,Construction & Engineering,Industrial & Commercial Services,Industrials,,Specialty Trade Contractors,US74762E1029
0,US74766Q1013,United States of America,Americas,Analytical Laboratory Instrument Manufacturing,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",Manufacturing,Life Sciences Tools & Services,Life Sciences Tools & Services,Health Care,Medical Equipment and Services,"Pharmaceuticals, Biotechnology & Life Sciences",Laboratory Analytical Instruments,Advanced Medical Equipment & Technology,Healthcare Equipment & Supplies,Healthcare Services & Equipment,Healthcare,,Computer and Electronic Product Manufacturing,US74766Q1013
0,US7479065010,United States of America,Americas,Computer Storage Device Manufacturing,Computer and Peripheral Equipment Manufacturing,Manufacturing,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Technology,Technology Hardware & Equipment,Technology Hardware & Equipment,Computer Storage Devices,Computer Hardware,"Computers, Phones & Household Electronics",Technology Equipment,Technology,,Computer and Electronic Product Manufacturing,US7479065010
0,US74767V1098,United States of America,Americas,Battery Manufacturing,Other Electrical Equipment and Component Manufacturing,Manufacturing,Auto Parts & Equipment,Auto Components,Consumer Discretionary,Automobiles and Parts,Automobiles & Components,,"Auto, Truck & Motorcycle Parts",Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,,"Electrical Equipment, Appliance, and Component Manufacturing",US74767V1098
0,CA7477131055,Canada,Americas,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),Real Estate and Rental and Leasing,Communications Equipment,Communications Equipment,Technology,Software & Computer Services,Technology Hardware & Equipment,,Communications & Networking,Communications & Networking,Technology Equipment,Technology,,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),CA7477131055
0,US74772E1001,United Kingdom,Europe,Book Publishers,"Newspaper, Periodical, Book, and Directory Publishers",Information,Publishing,Media,Consumer Discretionary,Media,Media & Entertainment,,Consumer Publishing,Media & Publishing,Cyclical Consumer Services,Consumer Cyclicals,,Publishing Industries,US74772E1001
0,AU000000QUB5,Australia,Oceania,Port and Harbor Operations,Support Activities for Water Transportation,Transportation and Warehousing,Marine Ports & Services,Transportation Infrastructure,Industrials,Industrial Support Services,Transportation,,Marine Port Services,Transport Infrastructure,Transportation,Industrials,,Support Activities for Transportation,AU000000QUB5
0,US7477981069,China,Asia,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",Activities Related to Credit Intermediation,Finance and Insurance,Consumer Finance,Consumer Finance,Financials,Finance and Credit Services,Diversified Financials,,Financial Technology (Fintech),Financial Technology (Fintech) & Infrastructure,Financial Technology (Fintech) & Infrastructure,Technology,,Credit Intermediation and Related Activities,US7477981069
0,CA7481932084,Canada,Americas,Wired Telecommunications Carriers,Wired and Wireless Telecommunications (except Satellite),Information,Cable & Satellite,Media,Telecommunications,Telecommunications Service Providers,Media & Entertainment,,Integrated Telecommunications Services,Telecommunications Services,Telecommunications Services,Technology,,Telecommunications,CA7481932084
0,US74834L1008,United States of America,Americas,Medical Laboratories,Medical and Diagnostic Laboratories,Health Care and Social Assistance,Health Care  Services,Health Care Providers & Services,Health Care,Medical Equipment and Services,Health Care Equipment & Services,Medical Laboratories,Healthcare Facilities & Services,Healthcare Providers & Services,Healthcare Services & Equipment,Healthcare,,Ambulatory Health Care Services,US74834L1008
0,CA74836K1003,Canada,Americas,Crude Petroleum Extraction,Oil and Gas Extraction,"Mining, Quarrying, and Oil and Gas Extraction",Oil & Gas Exploration & Production,"Oil, Gas & Consumable Fuels",Energy,"Oil, Gas and Coal",Energy,,Oil & Gas Exploration and Production,Oil & Gas,Energy - Fossil Fuels,Energy,,Oil and Gas Extraction,CA74836K1003
0,ARQUIK010014,Argentina,Americas,Meat Processed from Carcasses,Animal Slaughtering and Processing,Manufacturing,,,Consumer Staples,Food Producers,,,Food Processing,Food & Tobacco,Food & Beverages,Consumer Non-Cyclicals,,Food Manufacturing,ARQUIK010014
0,CLP7980K1070,Chile,Americas,Commercial Banking,Depository Credit Intermediation,Finance and Insurance,Industrial Conglomerates,Industrial Conglomerates,Industrials,General Industrials,Capital Goods,"Commercial Banks, Not Elsewhere Classified",Oil & Gas Refining and Marketing,Oil & Gas,Energy - Fossil Fuels,Energy,,Credit Intermediation and Related Activities,CLP7980K1070
0,US74874Q1004,United States of America,Americas,Marketing Consulting Services,"Management, Scientific, and Technical Consulting Services","Professional, Scientific, and Technical Services",Interactive Media & Services,Interactive Media & Services,Consumer Discretionary,Media,Media & Entertainment,"Business Services, Not Elsewhere Classified",Online Services,Software & IT Services,Software & IT Services,Technology,,"Professional, Scientific, and Technical Services",US74874Q1004
0,GB00B99PCP71,United Kingdom,Europe,Other Electronic Component Manufacturing,Semiconductor and Other Electronic Component Manufacturing,Manufacturing,Casinos & Gaming,"Hotels, Restaurants & Leisure",Technology,Technology Hardware & Equipment,Consumer Services,,Casinos & Gaming,Hotels & Entertainment Services,Cyclical Consumer Services,Consumer Cyclicals,,Computer and Electronic Product Manufacturing,GB00B99PCP71
0,US7491191034,United States of America,Americas,Web Search Portals and All Other Information Services,"Web Search Portals, Libraries, Archives, and Other Information Services",Information,Advertising,Media,Consumer Discretionary,Media,Media & Entertainment,,Advertising & Marketing,Media & Publishing,Cyclical Consumer Services,Consumer Cyclicals,,"Web Search Portals, Libraries, Archives, and Other Information Services",US7491191034
0,KW0EQ0502348,Kuwait,Asia,Dairy Product (except Dried or Canned) Merchant Wholesalers,Grocery and Related Product Merchant Wholesalers,Wholesale Trade,,,Basic Materials,Chemicals,,,Food Retail & Distribution,Food & Drug Retailing,Food & Drug Retailing,Consumer Non-Cyclicals,,"Merchant Wholesalers, Nondurable Goods",KW0EQ0502348
